New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
non-stiff stalk	non-stiff stalk	902	PI606330	114.37	123.93	127.44	130.16	128.04	80	159	61
popcorn	popcorn	903	AMES28974	114.84	123.99	128.53	127.62	124.83	70	146	70
unclassified	unclassified	904	AMES26796	119.6	128.33	129.2	133.81	135.71	80	168	71
unclassified	unclassified	905	PI340826	108.34	119.94	121.96	124.91	127.76	67	91	32
unclassified	unclassified	906	PI594051	116.73	126.12	125.84	128.13	134.6	77	182	66
unclassified	unclassified	907	AMES23488	111.54	121.4	124.67	126.63	124.44	70	152	52
unclassified	unclassified	908	AMES22441	115.99	123.57	127.85	125.96	123.17	72	125	55
unclassified	unclassified	909	AMES26121	114.52	123.52	129.63	132.12	136.05	87	155	86
unclassified	unclassified	910	AMES26778	106.13	125.34	129.1	127.42	130.73	73	98	59
non-stiff stalk	non-stiff stalk	911	PI601079	112.99	121.86	125.75	130.56	131.81	85	176	90
stiff stalk	stiff stalk	912	PI594047	110.92	122.56	128.68	133.11	137.73	86	121	48
popcorn	popcorn	913	AMES28990	116.63	125.95	128.7	126.89	127.71	71	126	50
unclassified	unclassified	914	PI221789	116.34	123.78	126.27	125.88	129.26	89	178	99
unclassified	unclassified	915	AMES24722	117.69	123.72	128.58	127.16	125.99	68	132	57
unclassified	unclassified	916	PI593017	115.91	122.22	126.82	129.82	128.16	85	139	70
sweet corn	sweet corn	917	AMES22057	112.49	121.01	125.92	127.12	119.44	68	123	32
unclassified	unclassified	918	PI607519	113.09	121.27	125.27	127.38	121.27	67	87	55
unclassified	unclassified	919	PI221775	118.57	124.18	127.96	130.96	128.18	89	120	75
stiff stalk	stiff stalk	920	PI550566	113.42	126.08	129.65	129.83	125.49	70	146	62
unclassified	unclassified	921	NSL81597	116.3	123.62	127.65	129.32	127.71	73	146	59
